area,rooms,bathroom,parking_spaces,floor,rent_amount,property_tax,total,acept,not acept,furnished,not furnished
400,4,2,2,1,2500,74,2615,0,1,0,1
300,4,5,4,1,14000,1167,15380,1,0,1,0
284,4,3,3,4,6000,483,8900,1,0,0,1
70,2,1,1,3,2400,30,2826,1,0,1,0
309,4,5,4,7,6500,682,9927,1,0,0,1
70,2,1,0,1,2100,134,2266,1,0,0,1
360,3,4,1,10,10000,584,13010,1,0,0,1
30,1,1,1,10,1500,0,2406,0,1,0,1
80,2,2,2,11,2200,171,3231,1,0,0,1
133,4,4,3,6,7000,800,9394,0,1,0,1
38,1,1,1,14,2800,279,4735,0,1,1,0
73,2,2,1,7,3500,100,4745,1,0,0,1
155,3,4,2,4,2000,150,3676,1,0,0,1
63,2,2,1,15,3200,50,3648,1,0,0,1
58,2,1,1,1,1400,0,1418,1,0,0,1
48,1,1,0,9,3450,0,3871,0,1,1,0
210,3,4,3,7,2790,834,5360,1,0,0,1
100,3,2,2,2,1600,183,2145,1,0,0,1
94,3,2,2,1,3570,140,5093,1,0,0,1
94,3,3,2,3,5010,395,6689,1,0,1,0
76,3,1,1,4,2500,267,3999,1,0,0,1
192,3,3,2,13,7800,634,10630,1,0,0,1
217,3,4,3,1,6500,0,9467,1,0,0,1
68,2,1,1,5,1400,35,2063,1,0,0,1
110,3,2,2,2,2400,247,3823,1,0,0,1
95,2,2,1,3,1600,164,2446,1,0,0,1
900,4,6,8,1,15000,4417,19640,1,0,0,1
34,1,1,0,5,1200,45,1608,0,1,0,1
192,3,4,3,5,8000,0,10100,1,0,0,1
62,2,2,1,9,1800,75,2252,1,0,0,1
180,3,3,4,1,3700,184,3940,1,0,0,1
44,1,1,0,3,916,12,1290,1,0,1,0
100,2,1,1,1,1700,116,2089,0,1,0,1
140,3,3,1,24,1370,100,2388,0,1,0,1
170,3,3,3,8,2800,648,5054,1,0,1,0
100,3,2,2,1,1600,150,1775,0,1,0,1
75,3,2,2,4,1600,82,2355,1,0,0,1
52,2,1,0,2,1200,43,1459,1,0,0,1
999,5,7,8,1,14000,667,14880,1,0,0,1
270,4,4,4,8,7000,1500,10790,1,0,0,1
50,2,1,1,1,930,60,1163,1,0,0,1
200,3,3,2,1,2210,184,3078,1,0,0,1
71,2,2,0,16,1920,100,2475,1,0,0,1
500,5,4,6,1,13000,250,13450,1,0,0,1
60,2,1,0,1,1080,94,1191,1,0,0,1
110,2,1,0,8,1300,84,2501,1,0,0,1
210,3,3,4,1,3294,276,3620,1,0,0,1
220,3,4,3,8,6000,996,9094,1,0,0,1
200,3,2,5,1,4000,204,4270,0,1,0,1
130,3,4,3,2,4250,502,7106,1,0,0,1
65,2,2,2,7,4000,245,5333,1,0,1,0
96,3,2,2,17,3200,250,4295,1,0,0,1
660,4,5,5,12,20000,1750,26800,1,0,1,0
107,3,2,0,7,3200,270,4972,1,0,1,0
105,3,2,0,1,2200,9,2978,1,0,0,1
100,3,2,0,7,3290,109,4342,1,0,0,1
287,3,4,4,1,9000,430,9566,1,0,1,0
24,1,1,0,1,1180,9,1434,0,1,1,0
22,1,1,0,1,976,0,991,0,1,0,1
70,1,1,1,1,2529,142,2710,0,1,0,1
44,1,1,1,2,1500,17,1789,1,0,1,0
150,3,2,2,1,2500,0,2538,0,1,0,1
90,1,2,2,9,2900,220,4155,1,0,1,0
200,4,4,2,8,2800,830,6666,1,0,1,0
320,8,4,0,1,10500,350,11460,1,0,0,1
90,2,1,1,2,1700,110,2385,0,1,0,1
240,4,4,3,9,2144,834,5506,1,0,0,1
154,4,3,3,21,7000,1020,9793,1,0,0,1
60,2,2,2,2,3230,284,5895,1,0,0,1
101,3,2,0,5,2380,91,3282,1,0,0,1
140,3,4,2,1,3090,0,3145,0,1,0,1
500,4,5,8,1,15000,1850,17080,1,0,0,1
110,3,3,3,4,2350,687,4262,1,0,0,1
110,3,3,2,1,4800,50,4923,1,0,0,1
90,2,2,2,3,2000,84,2311,1,0,0,1
384,4,6,4,3,15000,344,19040,0,1,1,0
57,2,1,1,7,1500,67,2157,1,0,0,1
160,3,3,2,5,1500,419,3589,1,0,1,0
39,1,1,0,8,1250,19,1615,1,0,0,1
78,1,2,1,4,2290,143,2463,1,0,0,1
36,1,1,1,1,762,15,791,1,0,0,1
70,2,1,1,1,1200,0,1774,1,0,0,1
45,1,1,1,4,3200,0,3543,0,1,1,0
200,3,4,3,1,8500,1250,13360,1,0,0,1
100,3,3,3,1,4300,120,4485,1,0,0,1
42,1,1,1,14,5000,0,5064,0,1,0,1
280,4,4,1,1,8000,292,11390,1,0,1,0
28,1,1,1,13,2800,42,3493,0,1,1,0
30,1,1,0,1,1826,30,2176,0,1,1,0
85,3,2,1,1,1500,88,1945,1,0,0,1
83,1,1,1,4,1080,59,1653,0,1,0,1
85,3,2,2,16,3300,150,4042,1,0,1,0
90,3,2,2,3,1600,105,2052,1,0,0,1
50,2,1,0,5,900,100,1012,1,0,0,1
50,1,1,0,8,2900,134,3672,1,0,0,1
300,3,2,3,1,6700,539,7349,0,1,0,1
39,1,1,0,7,850,27,1240,1,0,0,1
750,4,4,6,1,15000,2084,17310,1,0,0,1
60,2,1,0,1,1100,46,1385,1,0,0,1
68,2,1,0,4,1250,9,2026,0,1,0,1
70,2,1,1,1,1250,50,1546,1,0,0,1
90,2,2,1,6,6500,89,7572,1,0,1,0
258,5,6,0,1,8700,670,9503,1,0,0,1
200,2,2,6,1,4500,292,4860,1,0,0,1
123,2,2,2,6,2990,625,5453,1,0,0,1
127,3,2,2,1,2150,67,2470,1,0,1,0
180,4,2,2,1,1800,210,2040,1,0,0,1
110,3,2,0,1,2900,384,3328,0,1,0,1
70,2,2,1,7,1719,77,2404,1,0,1,0
35,1,1,1,8,3000,130,3889,1,0,1,0
219,3,2,2,1,2900,150,3094,1,0,0,1
25,1,1,0,1,700,0,760,1,0,0,1
170,4,5,0,10,7100,639,9031,1,0,0,1
45,1,1,0,8,1570,98,2589,1,0,0,1
420,4,4,2,1,7000,200,7315,0,1,0,1
46,1,1,0,4,1040,48,1104,1,0,0,1
145,3,3,2,1,5800,250,7212,1,0,1,0
59,2,2,1,2,1100,59,1364,1,0,0,1
225,4,3,0,8,7500,466,9916,1,0,0,1
210,4,4,3,3,4675,1110,8115,1,0,0,1
76,1,1,0,1,1249,52,1529,1,0,0,1
220,3,4,3,2,5150,1250,8966,0,1,0,1
109,3,2,2,7,2500,134,4412,1,0,0,1
95,2,1,1,3,1000,120,1780,1,0,0,1
32,1,1,0,1,1500,50,1850,0,1,0,1
480,4,6,5,9,15000,3063,24910,1,0,0,1
53,1,1,1,3,4390,200,5340,1,0,0,1
40,1,1,0,1,780,17,809,0,1,0,1
50,1,1,1,4,3223,100,3864,1,0,1,0
60,1,1,0,1,1300,255,1575,1,0,0,1
64,2,2,2,7,1500,50,2022,0,1,0,1
140,3,3,2,4,12000,535,14970,1,0,1,0
121,3,3,1,12,2040,334,3200,1,0,0,1
43,1,1,1,4,2100,84,2709,1,0,1,0
20,1,1,1,3,1360,0,3078,0,1,1,0
58,2,1,1,3,950,11,1263,1,0,0,1
570,5,6,7,1,8330,873,9340,1,0,1,0
88,2,1,1,2,2790,0,3806,1,0,0,1
89,3,2,2,19,6000,184,7161,1,0,0,1
47,1,1,1,1,2200,0,2633,0,1,1,0
40,1,1,0,1,1100,50,1167,1,0,0,1
40,1,1,0,1,1950,91,2453,1,0,1,0
60,1,2,1,3,750,80,1240,1,0,0,1
25,1,1,0,14,1650,0,1928,1,0,0,1
50,2,1,0,13,1130,30,1517,1,0,0,1
90,3,1,0,1,1130,55,1347,1,0,0,1
173,3,3,3,2,2000,825,5851,1,0,0,1
91,3,2,2,12,2250,175,3154,1,0,0,1
90,3,2,2,6,1200,109,3035,0,1,0,1
530,5,6,4,2,15000,5000,28490,1,0,1,0
155,1,4,0,4,2790,64,1120000,0,1,0,1
40,1,1,0,1,1300,0,1317,0,1,0,1
296,4,5,3,3,15000,0,15190,1,0,0,1
87,3,2,1,17,1400,200,2468,1,0,0,1
300,3,3,5,1,5000,584,5660,1,0,0,1
136,3,3,3,13,4206,364,6054,1,0,0,1
52,2,1,0,4,1340,0,1357,1,0,0,1
94,2,2,2,8,2900,230,3773,1,0,0,1
300,4,5,3,7,12750,750,17520,1,0,0,1
100,3,3,1,3,3229,100,4221,1,0,0,1
500,4,6,3,1,7300,2536,16410,1,0,0,1
240,3,4,3,3,4950,1000,9613,1,0,1,0
308,2,3,3,1,2000,171,2204,1,0,0,1
350,4,5,4,15,4590,1334,8683,1,0,1,0
75,2,2,0,2,1450,0,2039,1,0,0,1
155,3,2,3,4,11700,667,15120,1,0,1,0
260,3,5,4,12,6000,1468,9772,1,0,0,1
80,2,2,1,1,1500,184,1707,0,1,0,1
85,3,1,1,6,1998,87,2921,1,0,0,1
120,2,2,2,22,3500,375,5320,0,1,1,0
100,2,2,1,1,1970,0,2000,1,0,0,1
240,4,5,4,6,3500,717,6131,0,1,0,1
360,7,6,6,1,5270,245,5595,1,0,0,1
42,1,1,0,1,1100,0,1117,0,1,0,1
33,1,1,1,14,2800,112,3548,1,0,1,0
48,1,1,0,1,1020,53,1713,0,1,0,1
36,1,1,0,5,1130,42,1537,1,0,0,1
270,6,3,6,1,4500,417,4985,1,0,0,1
75,2,1,1,2,1200,121,2007,1,0,0,1
46,2,1,0,3,1600,0,1891,0,1,0,1
350,3,3,3,1,10000,1292,11440,0,1,0,1
131,3,3,1,10,1750,121,3522,1,0,1,0
90,3,2,1,3,1300,129,2366,1,0,0,1
26,1,1,0,4,1650,120,2182,0,1,0,1
44,1,1,0,3,1100,14,1529,1,0,1,0
70,2,2,0,1,1880,0,1909,1,0,0,1
40,1,1,0,1,900,0,915,0,1,0,1
320,4,2,4,1,3200,206,3459,1,0,0,1
213,2,2,3,1,5150,0,5228,1,0,0,1
80,2,1,0,1,1100,0,1114,0,1,0,1
70,1,1,0,6,800,30,1341,1,0,0,1
60,2,1,1,5,1500,25,2235,1,0,0,1
270,4,4,4,5,12850,1834,19350,1,0,0,1
70,2,1,1,3,1300,44,2161,1,0,0,1
300,6,2,2,1,6000,242,6349,1,0,0,1
220,4,5,3,14,12000,750,14950,1,0,1,0
64,2,2,2,7,1600,34,2108,1,0,0,1
80,3,3,1,7,1470,0,2589,0,1,0,1
56,1,1,0,9,2500,81,3238,1,0,1,0
161,4,3,2,1,10000,467,12040,1,0,0,1
35,1,1,0,1,1350,0,1718,1,0,0,1
720,4,6,5,1,12750,2613,15560,1,0,1,0
280,4,5,4,6,3200,750,6491,0,1,0,1
96,3,2,0,2,2100,84,2623,1,0,0,1
236,3,4,4,10,11000,440,13180,1,0,0,1
81,3,2,1,4,1510,0,1734,1,0,0,1
62,2,1,1,1,1650,92,2343,1,0,0,1
125,3,2,0,2,1200,69,1435,1,0,0,1
37,1,1,1,6,4150,110,5203,1,0,1,0
60,2,2,1,11,4000,200,5931,1,0,0,1
230,4,2,3,1,5000,1551,10220,1,0,0,1
210,4,5,2,1,8500,0,12410,1,0,1,0
450,4,3,8,1,14000,175,14390,1,0,0,1
234,3,5,4,1,3680,400,4136,1,0,1,0
135,4,3,2,2,2450,308,3659,0,1,0,1
395,4,5,3,1,6000,122,6213,1,0,0,1
92,2,2,1,2,1700,67,2242,1,0,0,1
412,3,5,6,21,3952,459,6462,1,0,0,1
42,1,1,1,27,5300,100,6028,1,0,0,1
33,1,1,0,12,3000,125,3549,0,1,1,0
28,2,1,1,1,600,0,611,1,0,0,1
190,4,4,2,1,4450,223,4740,0,1,0,1
165,4,3,3,10,6300,1292,10110,1,0,1,0
44,1,1,0,5,1200,20,1593,1,0,0,1
60,2,1,1,4,1275,109,2004,1,0,0,1
380,3,3,2,1,11000,1084,15800,1,0,0,1
73,2,1,0,4,830,120,1336,1,0,0,1
19,1,1,0,5,1100,85,1820,1,0,0,1
230,3,5,4,6,7500,0,9396,1,0,0,1
37,1,1,1,2,2500,0,3037,1,0,0,1
124,3,2,3,7,6600,300,8434,1,0,0,1
115,3,2,1,8,2680,114,3919,1,0,1,0
600,3,3,4,1,5500,384,5967,1,0,0,1
700,5,5,4,1,15000,1667,18280,1,0,1,0
35,1,1,0,1,815,17,944,1,0,0,1
15,1,1,0,3,1100,0,1115,0,1,1,0
80,3,2,1,2,1450,125,2164,1,0,0,1
48,1,1,0,4,700,38,949,1,0,0,1
96,3,2,1,2,1500,137,2579,1,0,0,1
150,3,2,1,7,6715,340,8984,1,0,1,0
105,3,2,2,2,3300,390,5415,0,1,0,1
204,4,4,4,22,10000,760,13600,0,1,1,0
125,3,1,2,11,2600,170,4120,1,0,0,1
50,2,1,0,3,2300,50,2870,0,1,0,1
250,3,4,3,1,3740,234,4031,0,1,0,1
300,3,4,3,7,2000,1250,6276,1,0,1,0
80,2,1,1,1,1500,55,1578,1,0,0,1
130,3,4,1,2,1400,334,2953,0,1,0,1
120,2,3,0,2,3300,195,4441,1,0,0,1
540,3,3,4,9,15000,3500,24890,1,0,0,1
23,1,1,0,23,2100,41,2560,1,0,0,1
15,1,1,0,1,2500,0,2532,0,1,1,0
72,1,2,2,19,4000,200,5151,1,0,0,1
95,3,2,2,7,2300,122,3437,1,0,0,1
330,4,5,4,13,10000,1119,14120,1,0,0,1
75,2,2,2,7,6600,400,8684,0,1,1,0
53,1,1,1,4,4398,200,5344,1,0,0,1
178,3,2,1,2,1900,180,3305,0,1,0,1
150,3,2,0,1,4000,24,4085,1,0,0,1
50,2,1,1,4,1200,30,1766,1,0,0,1
150,3,2,1,1,2500,59,2597,0,1,0,1
25,1,1,0,1,984,11,1296,1,0,1,0
210,3,4,4,13,12000,1155,16460,0,1,0,1
75,3,2,1,4,1500,75,2195,1,0,0,1
200,2,4,3,12,15000,827,17920,1,0,0,1
350,4,4,0,1,8000,989,9110,1,0,0,1
49,2,1,1,7,1150,30,1557,1,0,0,1
40,1,1,0,4,2000,0,2030,0,1,1,0
45,1,1,1,2,4200,350,6504,0,1,1,0
46,1,1,1,8,7600,118,8715,0,1,1,0
80,2,2,2,15,11000,0,13140,1,0,0,1
30,1,1,0,3,2850,0,3287,1,0,1,0
80,2,2,2,1,2200,173,2457,1,0,0,1
105,2,2,1,10,1530,134,3464,1,0,0,1
105,3,2,2,7,2000,219,3416,1,0,0,1
114,3,1,0,1,2570,150,2759,1,0,0,1
200,3,3,4,1,7000,425,7531,1,0,0,1
120,3,3,2,5,3000,167,4011,1,0,0,1
60,2,2,1,11,4000,21,4719,1,0,0,1
90,2,1,1,1,3000,50,4089,1,0,0,1
53,2,1,0,3,1800,50,2409,0,1,0,1
80,2,2,5,1,3000,59,3105,1,0,0,1
87,4,2,2,4,1600,106,2511,1,0,0,1
110,3,1,1,1,5000,188,5810,1,0,0,1
113,4,2,1,3,4000,429,6070,1,0,0,1
170,3,2,2,5,5000,423,7686,0,1,0,1
150,3,2,0,1,3000,42,3781,0,1,0,1
60,2,2,1,11,1500,51,2042,1,0,0,1
43,1,1,0,4,2100,66,2487,0,1,1,0
130,3,2,2,4,3500,0,4345,1,0,1,0
69,3,2,0,7,1900,185,2760,1,0,1,0
306,3,2,2,1,2500,422,2960,1,0,0,1
187,3,2,3,1,3500,193,4246,1,0,0,1
385,3,4,3,1,9000,1500,10640,1,0,0,1
355,4,4,3,1,7300,660,8070,1,0,0,1
90,2,1,1,2,1100,380,1902,1,0,0,1
190,3,4,4,1,5000,275,5351,1,0,0,1
181,2,1,2,1,1400,132,1554,1,0,0,1
350,3,5,4,13,3490,1750,9285,1,0,0,1
168,5,3,2,2,2900,408,4790,1,0,0,1
73,2,1,0,1,2800,204,4641,1,0,0,1
378,5,5,4,4,3000,2000,9039,1,0,0,1
60,2,1,1,1,1300,180,1500,1,0,0,1
362,4,5,0,19,15000,1975,21310,0,1,0,1
90,3,2,0,1,1700,136,1862,1,0,0,1
42,1,1,0,4,1973,79,2578,0,1,1,0
56,2,1,1,18,1000,88,1669,1,0,0,1
16,1,1,0,1,850,30,891,0,1,0,1
90,2,2,2,15,10000,0,11530,0,1,1,0
67,1,1,0,13,850,55,1292,1,0,0,1
488,4,3,3,1,6400,1214,21820,1,0,0,1
30,1,1,0,10,1100,60,2025,1,0,0,1
290,6,3,4,1,8000,1525,9646,1,0,0,1
266,3,3,4,10,6400,1500,12680,1,0,0,1
47,2,1,1,4,900,25,1197,1,0,0,1
590,6,6,2,1,8000,975,9847,1,0,1,0
900,4,9,8,1,15000,5700,20930,1,0,0,1
86,2,1,1,1,2200,110,2344,1,0,0,1
290,3,3,2,1,15000,1000,16230,1,0,1,0
84,3,2,2,4,3300,100,4199,1,0,0,1
160,3,1,2,1,5000,225,5301,1,0,0,1
37,1,1,0,3,3500,127,4142,0,1,1,0
73,3,1,1,4,850,46,1215,1,0,0,1
350,4,5,5,17,15000,2400,19990,1,0,1,0
57,1,1,0,2,1100,10,1325,1,0,0,1
48,1,1,0,9,650,21,1030,1,0,0,1
30,1,1,0,8,800,25,1226,1,0,0,1
198,6,3,4,1,2000,145,2176,1,0,0,1
47,1,1,0,2,1000,59,1374,0,1,0,1
60,2,1,1,3,800,22,1084,1,0,0,1
230,3,3,0,9,5000,109,6873,1,0,1,0
90,2,1,1,1,1520,0,1545,0,1,0,1
129,3,2,1,8,3255,167,4664,1,0,1,0
240,4,4,4,22,6672,417,9154,1,0,0,1
55,1,1,0,14,1020,29,1764,1,0,0,1
52,1,1,0,1,1200,42,1410,1,0,0,1
250,3,4,3,8,6000,1089,8776,1,0,0,1
200,3,2,2,19,10000,1121,13820,1,0,0,1
312,4,3,3,1,2300,463,4292,1,0,0,1
230,5,5,3,1,9900,620,10670,1,0,0,1
72,2,2,2,9,2480,209,3471,1,0,0,1
55,2,1,0,5,2400,24,3075,1,0,1,0
72,2,2,1,2,3600,133,4694,0,1,1,0
50,2,1,0,1,1200,83,1302,1,0,0,1
17,1,1,0,1,2700,5,2740,1,0,0,1
160,3,3,2,4,2400,263,2845,1,0,0,1
214,4,4,3,5,6520,1187,10430,1,0,0,1
65,1,1,0,1,1800,30,2154,1,0,0,1
136,3,2,1,10,6500,267,8114,0,1,1,0
70,2,2,1,6,1900,57,2425,1,0,0,1
38,1,1,0,2,650,350,1350,1,0,0,1
450,8,5,5,1,8000,1000,9121,1,0,0,1
67,2,1,1,2,2200,130,3576,1,0,0,1
20,1,1,0,1,1100,35,1149,0,1,0,1
41,1,1,0,12,1530,60,1900,1,0,0,1
50,2,1,1,7,1550,7,2077,1,0,0,1
205,3,3,3,1,5525,575,6184,1,0,0,1
100,3,2,1,1,3300,500,3850,1,0,0,1
190,3,4,4,16,15000,1160,19200,1,0,1,0
45,2,1,0,1,1350,0,1373,1,0,0,1
57,1,1,1,2,800,66,1482,1,0,0,1
88,1,2,2,3,1600,40,2004,1,0,0,1
70,1,1,1,10,3400,80,3983,1,0,1,0
76,2,2,0,11,2800,0,3482,1,0,1,0
36,1,1,0,10,1370,29,1867,1,0,0,1
61,2,2,2,11,2500,42,3024,1,0,0,1
280,4,3,6,1,12500,706,13390,1,0,1,0
480,5,6,3,1,5000,1000,6076,1,0,0,1
45,1,1,1,17,1950,0,1975,1,0,1,0
42,1,1,0,9,1500,184,2994,1,0,1,0
62,2,1,0,4,736,28,1127,1,0,0,1
38,2,1,0,2,1500,0,1610,1,0,0,1
44,1,1,1,8,2400,0,3009,0,1,1,0
75,3,2,2,11,2800,167,3633,1,0,0,1
66,2,1,1,2,1250,0,1917,1,0,0,1
125,3,3,2,1,2800,38,2881,1,0,0,1
62,2,1,2,7,1500,90,2219,1,0,0,1
77,2,1,1,5,3100,464,4752,1,0,0,1
136,2,4,2,7,4800,242,6643,1,0,0,1
200,4,2,1,5,5000,328,7507,1,0,0,1
35,1,1,0,1,1305,0,1572,0,1,0,1
250,4,3,2,1,4500,100,4678,1,0,1,0
90,2,2,2,1,4100,0,4162,1,0,1,0
72,2,2,1,7,850,9,1350,1,0,0,1
168,3,3,5,16,3500,184,5404,1,0,0,1
360,3,4,3,5,13200,500,17890,1,0,1,0
38,1,1,1,9,740,30,1280,1,0,0,1
23,1,1,1,26,2300,59,2876,1,0,0,1
440,3,3,3,7,10500,84,10840,0,1,0,1
120,3,3,2,9,3500,109,4854,1,0,1,0
90,2,2,0,5,2500,84,3447,1,0,0,1
125,4,2,0,7,1632,150,2802,1,0,0,1
200,3,4,3,6,5058,1200,8123,1,0,1,0
190,3,3,2,5,3260,292,5394,1,0,0,1
123,3,2,1,3,2600,143,3141,1,0,0,1
53,2,1,1,1,2000,41,2351,1,0,0,1
70,2,1,1,2,2180,60,2829,1,0,0,1
90,2,2,2,17,12200,454,14310,1,0,1,0
95,3,2,0,1,1590,0,1614,1,0,0,1
74,3,1,1,4,900,40,1426,1,0,0,1
64,1,1,1,15,3600,0,4266,0,1,0,1
155,4,5,3,14,6000,625,8552,0,1,0,1
125,3,1,2,3,2200,159,3388,0,1,0,1
40,1,1,1,9,1580,25,1976,1,0,1,0
350,3,2,4,1,6522,492,7130,1,0,1,0
417,3,5,8,1,7650,450,8226,1,0,0,1
350,4,4,4,1,6000,192,6299,1,0,0,1
40,1,1,1,8,2800,100,3376,0,1,0,1
30,1,1,1,15,3500,127,4340,0,1,1,0
142,3,4,2,4,4500,375,6033,1,0,0,1
110,3,3,2,5,4000,300,5659,1,0,1,0
100,4,4,1,1,10000,9,10160,1,0,0,1
377,5,4,3,1,8000,900,9021,1,0,0,1
230,2,3,3,17,8000,633,11310,1,0,1,0
35,1,1,0,5,1800,91,2348,0,1,1,0
32,1,1,1,16,2900,0,3470,1,0,0,1
74,2,1,1,5,2024,71,2672,1,0,0,1
147,2,3,4,19,1200,375,4191,1,0,0,1
35,1,1,0,3,2500,60,3072,1,0,1,0
26,1,1,0,7,1500,84,2234,1,0,1,0
70,2,2,1,5,1700,5,2244,1,0,1,0
150,3,3,3,19,2800,740,5376,1,0,1,0
200,3,3,2,1,8000,292,8413,1,0,0,1
60,1,1,1,14,1100,49,1746,1,0,0,1
250,4,5,3,2,2550,334,4617,1,0,0,1
44,1,2,0,12,3300,126,6768,0,1,1,0
250,7,5,2,1,6000,0,6091,1,0,1,0
157,3,2,0,7,4500,347,6230,1,0,0,1
97,2,2,0,1,5600,0,6871,1,0,0,1
